nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
552  0.567901 -0.016085  0.136083  0.098995  1.973459  0.009053  0.011023 -0.000000 16.249385
558  0.574074 -0.016565  0.137523  0.099901  1.940061  0.009101  0.011079 -0.000000 16.066200
564  0.580247 -0.017047  0.138977  0.100800  1.909464  0.009142  0.011129 -0.000000 15.888669
570  0.586420 -0.017531  0.140444  0.101687  1.881451  0.009176  0.011175 -0.000000 15.717182
576  0.592593 -0.018017  0.141925  0.102565  1.855805  0.009205  0.011215  0.000000 15.551962
582  0.598765 -0.018504  0.143419  0.103437  1.832368  0.009228  0.011251 -0.000000 15.393358
588  0.604938 -0.018993  0.144925  0.104299  1.810875  0.009247  0.011283  0.000000 15.241069
594  0.611111 -0.019483  0.146441  0.105150  1.791160  0.009261  0.011310 -0.000000 15.095116
600  0.617284 -0.019974  0.147969  0.105995  1.773124  0.009271  0.011334 -0.000000 14.955717
606  0.623457 -0.020467  0.149505  0.106832  1.756515  0.009278  0.011354  0.000000 14.822227
612  0.629630 -0.020960  0.151055  0.107660  1.741525  0.009282  0.011371 -0.000000 14.696146
618  0.635802 -0.021454  0.152615  0.108484  1.727824  0.009282  0.011384  0.000000 14.576230
624  0.641975 -0.021949  0.154180  0.109294  1.715216  0.009280  0.011395  0.000000 14.461828
630  0.648148 -0.022444  0.155755  0.110100  1.703747  0.009276  0.011403 -0.000000 14.353451
636  0.654321 -0.022940  0.157343  0.110901  1.693574  0.009269  0.011408  0.000000 14.252163
642  0.660494 -0.023436  0.158933  0.111690  1.684170  0.009260  0.011411  0.000000 14.155356
648  0.666667 -0.023933  0.160537  0.112476  1.675964  0.009249  0.011411 -0.000000 14.065414
654  0.672840 -0.024430  0.162148  0.113255  1.668693  0.009237  0.011409  0.000000 13.981030
660  0.679012 -0.024927  0.163765  0.114025  1.662251  0.009222  0.011404 -0.000000 13.901665
666  0.685185 -0.025424  0.165390  0.114790  1.656720  0.009205  0.011398  0.000000 13.827754
