nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
456  0.469136 -0.009244  0.111697  0.087555  2.982296  0.006164  0.009132 -0.000000 16.563288
462  0.475309 -0.009691  0.112850  0.088732  2.890190  0.006313  0.009241  0.000000 16.477455
468  0.481481 -0.010143  0.114039  0.089866  2.955375  0.005955  0.009106  0.000000 15.966042
474  0.487654 -0.010599  0.115242  0.090964  2.615717  0.006895  0.009626 -0.001146 16.369483
480  0.493827 -0.011116  0.116915  0.091594  2.719725  0.006575  0.009420 -0.002528 16.221348
486  0.500000 -0.011567  0.117721  0.092780  5.950627  0.001268  0.006356  0.000000  6.703505
492  0.506173 -0.012036  0.119037  0.093896  2.986375  0.005678  0.008942 -0.000000 15.434211
498  0.512346 -0.012511  0.119801  0.095902  2.834666  0.005906  0.009088 -0.000000 15.282985
504  0.518519 -0.013180  0.121232  0.096344  2.699063  0.006231  0.009268 -0.000000 15.364377
510  0.524691 -0.013696  0.122405  0.097439  2.789480  0.005858  0.009060 -0.000000 14.958321
516  0.530864 -0.014129  0.123811  0.098590  3.506688  0.004209  0.008074  0.000000 13.536127
522  0.537037 -0.014574  0.125298  0.100362  3.058404  0.004948  0.008576 -0.004313 13.913548
528  0.543210 -0.015079  0.126629  0.101635  2.915039  0.005277  0.008741 -0.000000 14.139816
534  0.549383 -0.015612  0.127887  0.102323  2.917940  0.005354  0.008716 -0.000263 14.327284
540  0.555556 -0.015991  0.128751  0.103393  3.470397  0.004312  0.008010 -0.003147 13.690453
546  0.561728 -0.016531  0.130127  0.104668  3.140971  0.004915  0.008377  0.000000 14.125233
552  0.567901 -0.017140  0.132498  0.105513  2.840697  0.005447  0.008738  0.000000 14.204918
558  0.574074 -0.017632  0.133865  0.106372  3.851582  0.003477  0.007516 -0.000000 12.314595
564  0.580247 -0.018074  0.134346  0.107764  3.090724  0.004785  0.008343 -0.000000 13.591985
570  0.586420 -0.018578  0.135591  0.109074  3.433852  0.003953  0.007892  0.000000 12.514417
576  0.592593 -0.019157  0.137365  0.109701  3.412318  0.004048  0.007892  0.000000 12.717053
582  0.598765 -0.019695  0.138978  0.110433  3.189265  0.004434  0.008143  0.000000 13.026302
588  0.604938 -0.020193  0.140850  0.111477  2.996578  0.004904  0.008376  0.000000 13.516942
594  0.611111 -0.020572  0.141658  0.113152  3.019156  0.004700  0.008326  0.000000 13.094364
600  0.617284 -0.021158  0.143279  0.113841  3.205097  0.004252  0.008054 -0.000000 12.584136
606  0.623457 -0.021655  0.144583  0.114842  2.813675  0.005148  0.008577 -0.001157 13.372184
612  0.629630 -0.022162  0.146537  0.115729  2.932641  0.004791  0.008378 -0.000000 12.983410
618  0.635802 -0.022660  0.147681  0.117264  2.578104  0.005548  0.008882  0.000000 13.254349
624  0.641975 -0.022682  0.150875  0.118251  2.732651  0.005336  0.008628 -0.003619 13.453053
630  0.648148 -0.023778  0.150772  0.119255  2.492321  0.005723  0.008972 -0.000000 13.225981
636  0.654321 -0.024312  0.153278  0.119571  2.708031  0.005053  0.008594  0.000000 12.704383
642  0.660494 -0.024568  0.154906  0.120816  2.862373  0.004501  0.008370  0.000000 11.991884
648  0.666667 -0.025005  0.156748  0.121847  2.349942  0.006076  0.009195 -0.000000 13.247348
654  0.672840 -0.025525  0.158606  0.122723  2.412339  0.005638  0.009053  0.000000 12.673283
660  0.679012 -0.026047  0.160142  0.123826  2.213534  0.006182  0.009418  0.000000 12.748129
666  0.685185 -0.026377  0.161925  0.125113  2.088394  0.006746  0.009673 -0.000000 13.073490
